,Organization Name,Total Funding Amount (in USD),Funding Type,Organization Industries,Announced Date,Lead Investors,Investor Names,Funding Stage,Money Raised (in USD),Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Website,Organization Revenue Range,Funding Status,Number of Funding Rounds,Organization Location,Year,Time Diff
1114,BHub,32635497.0,Series A,"Artificial Intelligence (AI), Enterprise Resource Planning (ERP), FinTech, Payments, SaaS",2022-09-27,,Picus Capital,Early Stage Venture,7435497.0,,Yes,#1 Financial back-office solution in Latam,https://bhub.ai,$10M to $50M,Early Stage Venture,4,"São Paulo, Sao Paulo, Brazil, South America",2022,287.0
1115,BHub,32635497.0,Series A,"Artificial Intelligence (AI), Enterprise Resource Planning (ERP), FinTech, Payments, SaaS",2022-09-27,,Scale-Up Ventures,Early Stage Venture,7435497.0,,Yes,#1 Financial back-office solution in Latam,https://bhub.ai,$10M to $50M,Early Stage Venture,4,"São Paulo, Sao Paulo, Brazil, South America",2022,287.0
1116,BHub,32635497.0,Series A,"Artificial Intelligence (AI), Enterprise Resource Planning (ERP), FinTech, Payments, SaaS",2022-09-27,,Valor Capital Group,Early Stage Venture,7435497.0,,Yes,#1 Financial back-office solution in Latam,https://bhub.ai,$10M to $50M,Early Stage Venture,4,"São Paulo, Sao Paulo, Brazil, South America",2022,287.0
1117,BINAHKI,192103.0,Angel,Software,2019-11-30,,TIM,Seed,2358.0,,Yes,"Monitor your machines in the palm of your hand and scan your industrial plant, connecting any type of machine in minutes.",https://binahki.com.br/,,Seed,6,"Limeira, Sao Paulo, Brazil, South America",2019,
1118,BINAHKI,192103.0,Angel,Software,2020-08-13,,Robson Quero,Seed,22352.0,,Yes,"Monitor your machines in the palm of your hand and scan your industrial plant, connecting any type of machine in minutes.",https://binahki.com.br/,,Seed,6,"Limeira, Sao Paulo, Brazil, South America",2020,257.0
1119,BINAHKI,192103.0,Grant,Software,2022-08-23,,FINDESLAB,,34279.0,,No,"Monitor your machines in the palm of your hand and scan your industrial plant, connecting any type of machine in minutes.",https://binahki.com.br/,,Seed,6,"Limeira, Sao Paulo, Brazil, South America",2022,740.0
1120,BINAHKI,192103.0,Grant,Software,2023-09-10,,FINDESLAB,,61390.0,,No,"Monitor your machines in the palm of your hand and scan your industrial plant, connecting any type of machine in minutes.",https://binahki.com.br/,,Seed,6,"Limeira, Sao Paulo, Brazil, South America",2023,383.0
1121,BINAHKI,192103.0,Grant,Software,2023-10-10,,Fundação de Amparo à Pesquisa do Estado de SP,,32580.0,,No,"Monitor your machines in the palm of your hand and scan your industrial plant, connecting any type of machine in minutes.",https://binahki.com.br/,,Seed,6,"Limeira, Sao Paulo, Brazil, South America",2023,30.0
1122,BINAHKI,192103.0,Grant,Software,2024-01-12,,FINDESLAB,,39141.0,,No,"Monitor your machines in the palm of your hand and scan your industrial plant, connecting any type of machine in minutes.",https://binahki.com.br/,,Seed,6,"Limeira, Sao Paulo, Brazil, South America",2024,94.0
1123,BITi9 - Business IT Innovation,160766.0,Pre-Seed,"Business Information Systems, Cloud Data Services, Information Technology, Robotics",2021-10-20,Hotmart,Hotmart,Seed,160765.0,1786288.0,Yes,"BITi9 offers Robbi9, a solution that automates administrative processes focused on increasing productivity and reducing costs",https://www.biti9.com.br/,Less than $1M,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2021,
1125,BIUD,1000000.0,Seed,"Information Technology, Marketing",2022-10-01,,Grupo Koi,Seed,1000000.0,,Yes,BIUD exists to reinvent the way of do marketing for local businesses.,https://www.biud.com.br,$1M to $10M,Seed,1,"Brasilândia, Distrito Federal, Brazil, South America",2022,
1126,BIoIn,33743.0,Pre-Seed,"AgTech, Biotechnology, Information Technology",2018-12-04,VENTIUR,VENTIUR,Seed,33743.0,,Yes,BIoIn combines biotechnology and information technology for efficient pest control in agriculture.,http://www.bioinagro.com.br/,,Seed,1,"Porto Alegre, Rio Grande do Sul, Brazil, South America",2018,
1127,BLOCKBR,1370831.0,Pre-Seed,"Blockchain, Cryptocurrency, Financial Services, FinTech, Infrastructure, Legal Tech",2021-10-10,Grupo Nexxera,Grupo Nexxera,Seed,200000.0,4649786.0,Yes,Unlock Capital Markets Through Tokenization Infrastructure! Fintech specializes in building SaaS infrastructure for regulated environment.,https://site.blockbr.com.br/en_US,,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2021,
1128,BLOCKBR,1370831.0,Seed,"Blockchain, Cryptocurrency, Financial Services, FinTech, Infrastructure, Legal Tech",2022-09-01,Cesar De Afonseca,Cesar De Afonseca,Seed,1170831.0,12210000.0,Yes,Unlock Capital Markets Through Tokenization Infrastructure! Fintech specializes in building SaaS infrastructure for regulated environment.,https://site.blockbr.com.br/en_US,,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2022,326.0
1129,BLOCKBR,1370831.0,Seed,"Blockchain, Cryptocurrency, Financial Services, FinTech, Infrastructure, Legal Tech",2022-09-01,Cesar De Afonseca,Christiano Pereira,Seed,1170831.0,12210000.0,Yes,Unlock Capital Markets Through Tokenization Infrastructure! Fintech specializes in building SaaS infrastructure for regulated environment.,https://site.blockbr.com.br/en_US,,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2022,326.0
1130,BLOCKBR,1370831.0,Seed,"Blockchain, Cryptocurrency, Financial Services, FinTech, Infrastructure, Legal Tech",2022-09-01,Cesar De Afonseca,Darwin Startups,Seed,1170831.0,12210000.0,Yes,Unlock Capital Markets Through Tokenization Infrastructure! Fintech specializes in building SaaS infrastructure for regulated environment.,https://site.blockbr.com.br/en_US,,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2022,326.0
1131,BLOCKBR,1370831.0,Seed,"Blockchain, Cryptocurrency, Financial Services, FinTech, Infrastructure, Legal Tech",2022-09-01,Cesar De Afonseca,Francesco Cucinotta,Seed,1170831.0,12210000.0,Yes,Unlock Capital Markets Through Tokenization Infrastructure! Fintech specializes in building SaaS infrastructure for regulated environment.,https://site.blockbr.com.br/en_US,,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2022,326.0
1132,BLOCKBR,1370831.0,Seed,"Blockchain, Cryptocurrency, Financial Services, FinTech, Infrastructure, Legal Tech",2022-09-01,Cesar De Afonseca,Sebastian Guerrero,Seed,1170831.0,12210000.0,Yes,Unlock Capital Markets Through Tokenization Infrastructure! Fintech specializes in building SaaS infrastructure for regulated environment.,https://site.blockbr.com.br/en_US,,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2022,326.0
1134,BLU365,63000.0,Non-equity Assistance,"Financial Services, FinTech, Internet, Personal Finance, Software, Trading Platform",2019-04-01,Google for Startups,Google for Startups,,,,No,"BLU365 offers an easy, intuitive, and digital trading platform where Brazilians can negotiate their debts.",https://blu365.com.br,,,3,"São Paulo, Sao Paulo, Brazil, South America",2019,370.0
1135,BLU365,63000.0,Venture - Series Unknown,"Financial Services, FinTech, Internet, Personal Finance, Software, Trading Platform",2021-02-17,KPTL,Distrito Ventures,,,,Yes,"BLU365 offers an easy, intuitive, and digital trading platform where Brazilians can negotiate their debts.",https://blu365.com.br,,,3,"São Paulo, Sao Paulo, Brazil, South America",2021,688.0
1136,BLU365,63000.0,Venture - Series Unknown,"Financial Services, FinTech, Internet, Personal Finance, Software, Trading Platform",2021-02-17,KPTL,Eduardo Guimarães,,,,Yes,"BLU365 offers an easy, intuitive, and digital trading platform where Brazilians can negotiate their debts.",https://blu365.com.br,,,3,"São Paulo, Sao Paulo, Brazil, South America",2021,688.0
1137,BLU365,63000.0,Venture - Series Unknown,"Financial Services, FinTech, Internet, Personal Finance, Software, Trading Platform",2021-02-17,KPTL,KPTL,,,,Yes,"BLU365 offers an easy, intuitive, and digital trading platform where Brazilians can negotiate their debts.",https://blu365.com.br,,,3,"São Paulo, Sao Paulo, Brazil, South America",2021,688.0
1138,BLU365,63000.0,Venture - Series Unknown,"Financial Services, FinTech, Internet, Personal Finance, Software, Trading Platform",2021-02-17,KPTL,Plug and Play,,,,Yes,"BLU365 offers an easy, intuitive, and digital trading platform where Brazilians can negotiate their debts.",https://blu365.com.br,,,3,"São Paulo, Sao Paulo, Brazil, South America",2021,688.0
1140,BLUECYBER,1750000.0,Seed,"Insurance, InsurTech",2024-03-05,"Bossanova Investimentos, Invisto",Bossanova Investimentos,Seed,1500000.0,,Yes,"Cyber insurance, simplified. The embedded cyber insurance API marketplace for underserved SMEs and families in Latin America",https://bluecyber.insure,,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2024,674.0
1141,BLUECYBER,1750000.0,Seed,"Insurance, InsurTech",2024-03-05,"Bossanova Investimentos, Invisto",Invisto,Seed,1500000.0,,Yes,"Cyber insurance, simplified. The embedded cyber insurance API marketplace for underserved SMEs and families in Latin America",https://bluecyber.insure,,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2024,674.0
1142,BR Supply,5578829.0,Private Equity,"Delivery, Hardware, Office Supplies",2009-12-20,,CRP Companhia de Participações,Private Equity,5578828.0,,Yes,"BR Supply is a supply management company that offers cleaning and hygiene, work safety, and office supplies.",http://www.brsupply.com.br//,$10M to $50M,Private Equity,2,"São Leopoldo, Rio Grande do Sul, Brazil, South America",2009,
1143,BR Supply,5578829.0,Private Equity,"Delivery, Hardware, Office Supplies",2017-10-11,,EB Capital,Private Equity,,,Yes,"BR Supply is a supply management company that offers cleaning and hygiene, work safety, and office supplies.",http://www.brsupply.com.br//,$10M to $50M,Private Equity,2,"São Leopoldo, Rio Grande do Sul, Brazil, South America",2017,2852.0
1144,BR3 Agrobiotecnologia,535202.0,Series A,"Biometrics, Biotechnology, Health Care, Innovation Management, Product Design",2009-08-01,SP Ventures,Criatec Fund,Early Stage Venture,535201.0,,Yes,BR3 Agrobiotecnologia develops and commercializes technologies in agrochemicals.,http://www.br3.ind.br/,,Early Stage Venture,1,"São Paulo, Sao Paulo, Brazil, South America",2009,
1145,BR3 Agrobiotecnologia,535202.0,Series A,"Biometrics, Biotechnology, Health Care, Innovation Management, Product Design",2009-08-01,SP Ventures,SP Ventures,Early Stage Venture,535201.0,,Yes,BR3 Agrobiotecnologia develops and commercializes technologies in agrochemicals.,http://www.br3.ind.br/,,Early Stage Venture,1,"São Paulo, Sao Paulo, Brazil, South America",2009,
1147,BRA Transportes Aereos,25200000.0,Private Equity,"Aerospace, Air Transportation, Logistics, Transportation, Travel",2007-01-10,Darby Technology Ventures,Darby Technology Ventures,Private Equity,25200000.0,,Yes,"BRA Transportes Aereos operate both domestic and international scheduled services, as well as charter flights.",http://www.voebra.com.br/,,Private Equity,1,"São Paulo, Sao Paulo, Brazil, South America",2007,
1148,BRF,1039978838.0,Post-IPO Equity,"Food and Beverage, Manufacturing, Meat and Poultry",2023-05-31,"Marfrig, SALIC",Marfrig,,889978838.0,,Yes,"BRF produce foods that are a source of strength to put life on the go, every day, for the largest number of people worldwide.",http://brf-global.com/,$10B+,M&A,2,"Itajaí, Santa Catarina, Brazil, South America",2023,
1149,BRF,1039978838.0,Post-IPO Equity,"Food and Beverage, Manufacturing, Meat and Poultry",2023-05-31,"Marfrig, SALIC",SALIC,,889978838.0,,Yes,"BRF produce foods that are a source of strength to put life on the go, every day, for the largest number of people worldwide.",http://brf-global.com/,$10B+,M&A,2,"Itajaí, Santa Catarina, Brazil, South America",2023,
1150,BRF,1039978838.0,Post-IPO Debt,"Food and Beverage, Manufacturing, Meat and Poultry",2023-12-21,First Abu Dhabi Bank,First Abu Dhabi Bank,,150000000.0,,No,"BRF produce foods that are a source of strength to put life on the go, every day, for the largest number of people worldwide.",http://brf-global.com/,$10B+,M&A,2,"Itajaí, Santa Catarina, Brazil, South America",2023,204.0
1151,BRITech,,Venture - Series Unknown,"Financial Services, Information Technology, Professional Services, SaaS, Software",2015-01-01,,Oria Capital,,,,Yes,BRITech is a SaaS investment management platform and professional services provider for the investment management ecosystem.,https://britech.global,$10M to $50M,,1,"São Paulo, Sao Paulo, Brazil, South America",2015,
1153,BRLA Digital,598313.0,Pre-Seed,"Blockchain, Finance, Financial Services",2023-10-23,"Rodrigo Benez, Wei Zhou",Rodrigo Benez,Seed,598312.0,,Yes,BRLA Digital is a technological firm that promotes economic growth and financial inclusion.,https://brla.digital,,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2023,
1154,BRLA Digital,598313.0,Pre-Seed,"Blockchain, Finance, Financial Services",2023-10-23,"Rodrigo Benez, Wei Zhou",Wei Zhou,Seed,598312.0,,Yes,BRLA Digital is a technological firm that promotes economic growth and financial inclusion.,https://brla.digital,,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2023,
1155,BRLA Digital,598313.0,Pre-Seed,"Blockchain, Finance, Financial Services",2024-01-29,99 Capital,99 Capital,Seed,,,Yes,BRLA Digital is a technological firm that promotes economic growth and financial inclusion.,https://brla.digital,,Seed,2,"São Paulo, Sao Paulo, Brazil, South America",2024,98.0
1156,BSM,,Private Equity,"Industrial Manufacturing, Machinery Manufacturing",2012-04-01,ACON Investment,ACON Investment,Private Equity,,,Yes,"BSM provide heavy equipment services to outsourcing of cargo handling services, as well as port operations and logistic support services.",http://bsm.com.br/,,Private Equity,1,"Rio De Janeiro, Rio de Janeiro, Brazil, South America",2012,
1157,BTG Pactual,1800000000.0,Private Equity,"Asset Management, Banking, Financial Services, Wealth Management",2010-11-30,,Abu Dhabi Investment Council,Private Equity,1800000000.0,7851000000.0,Yes,"BTG Pactual is a financial company that operates in the markets of investment banking, wealth management, and asset management.",http://www.btgpactual.com,$1B to $10B,IPO,1,"São Paulo, Sao Paulo, Brazil, South America",2010,
1158,BTG Pactual,1800000000.0,Private Equity,"Asset Management, Banking, Financial Services, Wealth Management",2010-11-30,,CIC Partners,Private Equity,1800000000.0,7851000000.0,Yes,"BTG Pactual is a financial company that operates in the markets of investment banking, wealth management, and asset management.",http://www.btgpactual.com,$1B to $10B,IPO,1,"São Paulo, Sao Paulo, Brazil, South America",2010,
1159,BTG Pactual,1800000000.0,Private Equity,"Asset Management, Banking, Financial Services, Wealth Management",2010-11-30,,GIC,Private Equity,1800000000.0,7851000000.0,Yes,"BTG Pactual is a financial company that operates in the markets of investment banking, wealth management, and asset management.",http://www.btgpactual.com,$1B to $10B,IPO,1,"São Paulo, Sao Paulo, Brazil, South America",2010,
1160,BTG Pactual,1800000000.0,Private Equity,"Asset Management, Banking, Financial Services, Wealth Management",2010-11-30,,J.C. Flowers & Co.,Private Equity,1800000000.0,7851000000.0,Yes,"BTG Pactual is a financial company that operates in the markets of investment banking, wealth management, and asset management.",http://www.btgpactual.com,$1B to $10B,IPO,1,"São Paulo, Sao Paulo, Brazil, South America",2010,
1161,BTG Pactual,1800000000.0,Private Equity,"Asset Management, Banking, Financial Services, Wealth Management",2010-11-30,,Ontario Teachers' Pension Plan,Private Equity,1800000000.0,7851000000.0,Yes,"BTG Pactual is a financial company that operates in the markets of investment banking, wealth management, and asset management.",http://www.btgpactual.com,$1B to $10B,IPO,1,"São Paulo, Sao Paulo, Brazil, South America",2010,
1162,BTracer,300000.0,Pre-Seed,"Blockchain, Information Technology, Supply Chain Management",2021-07-01,Osten Moove,Osten Moove,Seed,300000.0,,Yes,"BTracer is an information and technology company that provides Traceability, Blockchain, and Supply chain services.",https://btracer.com.br/,,Seed,1,"Maringá, Parana, Brazil, South America",2021,
1163,BUG Agentes Biológicos,689571.0,Series A,"Agriculture, Biotechnology, Commercial, Farming, Industrial, Life Science",2009-05-01,SP Ventures,Criatec Fund,Early Stage Venture,689571.0,,Yes,BUG Agentes Biológicos One of the most innovative and sustainable agriculture in the World Biological Control segment.,http://bugagentesbiologicos.com.br/,,Early Stage Venture,1,"Piracicaba, Sao Paulo, Brazil, South America",2009,
1164,BUG Agentes Biológicos,689571.0,Series A,"Agriculture, Biotechnology, Commercial, Farming, Industrial, Life Science",2009-05-01,SP Ventures,Inseed Investimentos,Early Stage Venture,689571.0,,Yes,BUG Agentes Biológicos One of the most innovative and sustainable agriculture in the World Biological Control segment.,http://bugagentesbiologicos.com.br/,,Early Stage Venture,1,"Piracicaba, Sao Paulo, Brazil, South America",2009,
1165,BUG Agentes Biológicos,689571.0,Series A,"Agriculture, Biotechnology, Commercial, Farming, Industrial, Life Science",2009-05-01,SP Ventures,SP Ventures,Early Stage Venture,689571.0,,Yes,BUG Agentes Biológicos One of the most innovative and sustainable agriculture in the World Biological Control segment.,http://bugagentesbiologicos.com.br/,,Early Stage Venture,1,"Piracicaba, Sao Paulo, Brazil, South America",2009,
1168,BWS Bitfy,5298900.0,Seed,"Bitcoin, Blockchain, Cryptocurrency, Finance, Financial Services, Payments",2020-09-01,Urca Angels,Urca Angels,Seed,259292.0,,Yes,BWS is a blockchain as a service infrastructure that allow Custody and Governance of Digital Assets.,https://blockchainwebservices.com.br,$1M to $10M,Seed,4,"São Paulo, Sao Paulo, Brazil, South America",2020,397.0
